Order_ID,Order_Date,Ship_Date,Customer_ID,Customer_Name,Segment,Region,Category,Product_Name,Sales,Quantity,Discount,Profit,Ship_Mode
ORD-10001,2023-04-15,2023-04-21,CUST-9935,Tina Murphy,Consumer,West,Office Supplies,Notebook,144.55,5,0.1,8.07,Standard Class
ORD-10002,2024-10-27,2024-11-02,CUST-9928,Jessica Rice,Corporate,South,Technology,Laptop,1108.82,9,0.0,211.02,Same Day
ORD-10003,2023-12-15,2023-12-18,CUST-3547,Robert Green,Consumer,East,Office Supplies,Paper,4050.96,1,0.1,707.03,Standard Class
ORD-10004,2024-04-15,2024-04-20,CUST-3045,Michael Ford,Corporate,North,Technology,Mouse,501.65,6,0.2,76.14,First Class
ORD-10005,2023-02-16,2023-02-22,CUST-4733,Deborah Jacobs,Corporate,North,Office Supplies,Folder,4429.55,6,0.1,780.23,Second Class
ORD-10006,2023-08-03,2023-08-09,CUST-5374,Timothy Mccormick,Home Office,North,Technology,Mouse,1404.31,6,0.1,129.96,Second Class
ORD-10007,2024-10-17,2024-10-23,CUST-4598,Larry Dougherty,Home Office,East,Office Supplies,Pen,833.74,7,0.2,164.56,Standard Class
ORD-10008,2024-08-03,2024-08-09,CUST-6155,Mark Wallace,Consumer,West,Technology,Laptop,4029.13,7,0.2,-134.79,Same Day
ORD-10009,2024-07-05,2024-07-08,CUST-8019,Kaylee Smith,Home Office,West,Office Supplies,Stapler,731.5,3,0.1,136.24,First Class
ORD-10010,2023-06-06,2023-06-12,CUST-3621,Julia Villegas,Home Office,West,Technology,Monitor,2557.44,2,0.0,678.43,Standard Class
ORD-10011,2023-01-12,2023-01-18,CUST-2876,James Huynh,Home Office,East,Furniture,Sofa,2987.52,8,0.2,575.9,First Class
ORD-10012,2023-09-27,2023-10-02,CUST-3927,Ryan Anderson,Home Office,North,Technology,Keyboard,2185.13,8,0.0,630.31,First Class
ORD-10013,2024-07-06,2024-07-13,CUST-9689,Mariah Young,Consumer,East,Office Supplies,Folder,3052.67,3,0.2,429.29,Same Day
